Position,person_name,country,country_code,agency_name,data_source,scraped_time
Pres.,John Dramani MAHAMA,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Vice Pres.,Kwesi AMISSAH-ARTHUR,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Chieftaincy & Traditional Affairs,Henry Seidu DAANAA,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Communications,Edward Omane BOAMAH,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Defense,Mark Owen WOYONGO,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Education,Naana Jane OPOKU-AGYEMAN,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Employment & Labor Relations,Nii Armah ASHIETEY,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Energy & Petroleum,Emmanuel Armah Kofi BUAH,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
"Min. of Environment, Science, Technology, & Innovation",Oteng ADJEI,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Finance & Economic Planning,Seth TERKPER,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Fisheries & Aquaculture Development,Nayon BILIJO,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Food & Agriculture,Clement Kofi HUMADO,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Foreign Affairs & Regional Integration,Hanna TETTEH,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
"Min. of Gender, Children, & Social Protection",Nana Oye LITHUR,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Health,Hanny Sherry AYITTEY,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Information & Media Relations,Mahama AYARIGA,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Interior,Kwesi AHWOI,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Justice & Attorney Gen.,Marietta BREW-APPIAH-OPPONG,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Lands & Natural Resources,Inusah FUSEINI,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Local Govt. & Rural Development,Akwasi Oppong FOSU,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Parliamentary Affairs & Majority Leader,Benjamin KUNBOUR,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Roads & Highways,Amin Amidu SULEMANI,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
"Min. of Tourism, Culture, & Creative Arts",Elizabeth OFOSU-AGYARE,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Trade & Industry,Haruna IDDRISU,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Transportation,Dzifa ATTIVOR,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
"Min. of Water Resources, Works, & Housing",Collins DAUDA,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Min. of Youth & Sports,Elvis AFRIYIE-ANKRAH,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
"Min. of State, Office of the Pres.", ,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
"Min. of State, Office of the Pres.", ,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
"Governor, Bank of Ghana",Henry Kofi WAMPAH,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
Ambassador to the US,Kenneth Kweku KANDA,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
"Permanent Representative to the UN, New York",Kenneth Kweku KANDA,Burkina Faso,BFA,government of Burkina Faso,https://www.cia.gov/library/publications/world-leaders-1/GH.html,2018-02-22
